Inference for Bugs model at "../Mi model JAGS.txt", fit using jags,
 3 chains, each with 5e+05 iterations (first 250000 discarded), n.thin = 300
 n.sims = 2499 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
Loc[1]      1.782   0.104  1.579  1.712  1.782  1.851  1.987 1.007   310
Loc[2]      1.984   0.112  1.767  1.909  1.983  2.059  2.209 1.009   240
alpha[1]    1.734   4.537 -0.548  1.698  1.874  2.037  3.410 1.085  2500
alpha[2]   -0.183   0.113 -0.411 -0.257 -0.180 -0.107  0.037 1.008   280
alpha[3]    0.038   0.309 -0.581 -0.166  0.041  0.240  0.637 1.006   420
alpha[4]    0.039   0.227 -0.406 -0.116  0.039  0.187  0.491 1.011   210
alpha[5]   -0.377   0.170 -0.709 -0.487 -0.377 -0.267 -0.030 1.001  2500
alpha[6]    0.110   0.319 -0.515 -0.098  0.105  0.318  0.772 1.007   360
alpha[7]    0.090   0.237 -0.385 -0.068  0.095  0.253  0.541 1.012   190
alpha[8]    0.041   0.209 -0.380 -0.096  0.045  0.175  0.449 1.001  2400
alpha[9]    0.319   0.787 -1.234 -0.191  0.295  0.839  1.893 1.007   310
alpha[10]  -0.241   0.449 -1.108 -0.531 -0.240  0.038  0.687 1.001  2200
alpha[11]   0.076   0.376 -0.701 -0.174  0.081  0.331  0.811 1.001  2100
alpha[12]   0.177   0.805 -1.404 -0.361  0.193  0.693  1.781 1.007   320
alpha[13]   0.048   0.465 -0.877 -0.259  0.058  0.345  0.969 1.001  2000
alpha[14]   0.188   0.418 -0.624 -0.096  0.184  0.468  1.044 1.002  1400
delta      -2.416   0.682 -3.577 -2.925 -2.472 -1.957 -0.986 1.003   890
e.obs[1]    0.373   0.179  0.028  0.252  0.372  0.491  0.723 1.002  1000
e.obs[2]   -0.065   0.162 -0.394 -0.170 -0.061  0.049  0.230 1.000  2500
e.obs[3]    0.766   0.123  0.525  0.684  0.767  0.849  1.005 1.000  2500
e.obs[4]   -0.263   0.219 -0.695 -0.405 -0.266 -0.120  0.167 1.008   270
e.obs[5]    0.859   0.173  0.500  0.741  0.862  0.976  1.181 1.002  1800
e.obs[6]   -0.809   0.254 -1.319 -0.976 -0.803 -0.643 -0.308 1.002  1200
e.obs[7]    0.069   0.147 -0.216 -0.027  0.069  0.166  0.359 1.000  2500
e.obs[8]   -0.032   0.265 -0.555 -0.204 -0.035  0.138  0.499 1.002   980
e.obs[9]    0.665   0.162  0.345  0.560  0.667  0.773  0.990 1.001  2500
e.obs[10]   0.002   0.211 -0.420 -0.126  0.000  0.131  0.429 1.002  1600
e.obs[11]  -0.198   0.133 -0.455 -0.287 -0.197 -0.111  0.070 1.001  2200
e.obs[12]   0.074   0.279 -0.470 -0.105  0.071  0.258  0.629 1.001  2400
e.obs[13]  -0.065   0.214 -0.513 -0.197 -0.059  0.075  0.345 1.001  2500
e.obs[14]  -0.360   0.264 -0.897 -0.531 -0.353 -0.181  0.134 1.001  2500
e.obs[15]   0.422   0.333 -0.245  0.200  0.427  0.636  1.077 1.006   340
e.obs[16]  -0.119   0.232 -0.601 -0.266 -0.119  0.030  0.323 1.001  2500
e.obs[17]  -0.910   0.194 -1.297 -1.038 -0.906 -0.778 -0.537 1.006   390
e.obs[18]  -0.491   0.195 -0.873 -0.625 -0.482 -0.359 -0.128 1.003   860
e.obs[19]  -0.218   0.249 -0.713 -0.382 -0.222 -0.048  0.267 1.001  2500
e.obs[20]  -0.031   0.197 -0.413 -0.162 -0.028  0.106  0.345 1.001  2500
e.obs[21]  -0.096   0.285 -0.676 -0.278 -0.092  0.094  0.456 1.001  2500
e.obs[22]  -0.209   0.313 -0.817 -0.408 -0.213  0.000  0.399 1.003   710
e.obs[23]  -0.086   0.232 -0.543 -0.237 -0.080  0.069  0.369 1.001  2500
e.obs[24]  -0.094   0.321 -0.732 -0.309 -0.100  0.123  0.534 1.010   210
e.obs[25]  -0.037   0.204 -0.452 -0.169 -0.034  0.099  0.354 1.004   550
e.obs[26]  -0.112   0.208 -0.551 -0.239 -0.108  0.017  0.297 1.001  2500
e.obs[27]   0.066   0.111 -0.146 -0.010  0.064  0.141  0.285 1.001  2500
e.obs[28]   0.648   0.117  0.422  0.571  0.651  0.727  0.883 1.001  2500
e.obs[29]  -0.180   0.173 -0.523 -0.296 -0.179 -0.066  0.152 1.001  2500
e.obs[30]   0.057   0.204 -0.348 -0.071  0.055  0.192  0.461 1.002  1600
e.obs[31]  -0.344   0.141 -0.615 -0.439 -0.347 -0.251 -0.067 1.001  2000
e.obs[32]  -0.273   0.186 -0.640 -0.398 -0.275 -0.146  0.094 1.001  2500
e.obs[33]  -0.515   0.165 -0.837 -0.623 -0.516 -0.405 -0.188 1.001  2200
e.obs[34]  -0.902   0.187 -1.267 -1.027 -0.904 -0.774 -0.530 1.001  2500
e.obs[35]  -1.343   0.176 -1.691 -1.459 -1.346 -1.223 -0.994 1.001  2500
e.obs[36]  -0.467   0.124 -0.709 -0.553 -0.467 -0.384 -0.223 1.001  2500
e.obs[37]   0.125   0.116 -0.100  0.044  0.122  0.205  0.351 1.001  2100
e.obs[38]  -0.497   0.125 -0.741 -0.583 -0.495 -0.414 -0.250 1.001  2500
e.obs[39]   0.090   0.126 -0.150  0.003  0.091  0.174  0.332 1.001  2500
e.obs[40]   0.079   0.180 -0.268 -0.039  0.077  0.199  0.432 1.002  1100
e.obs[41]  -0.113   0.219 -0.559 -0.250 -0.119  0.028  0.312 1.002  1100
e.obs[42]   0.212   0.092  0.038  0.147  0.213  0.273  0.396 1.001  2400
e.obs[43]   0.075   0.081 -0.067  0.028  0.066  0.114  0.261 1.000  2500
e.obs[44]  -0.006   0.056 -0.130 -0.018  0.000  0.016  0.075 1.006  2500
e.obs[45]  -0.009   0.043 -0.091 -0.026 -0.009  0.009  0.077 1.005  2500
e.obs[46]   0.042   0.089 -0.137 -0.016  0.039  0.100  0.219 1.002  1200
e.obs[47]  -0.150   0.162 -0.475 -0.248 -0.148 -0.049  0.181 1.003   810
e.obs[48]   0.022   0.239 -0.436 -0.139  0.017  0.185  0.515 1.001  2500
e.obs[49]   1.711   0.308  1.119  1.499  1.709  1.921  2.317 1.001  2400
