Inference for Bugs model at "../Mi model JAGS simp1.txt", fit using jags,
 3 chains, each with 3e+05 iterations (first 150000 discarded), n.thin = 300
 n.sims = 1500 iterations saved
          mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
Loc[1]      1.784   0.106   1.581  1.714  1.787  1.856  1.992 1.007   310
Loc[2]      1.992   0.114   1.762  1.917  1.992  2.069  2.215 1.004   560
alpha[1]    1.386  18.611 -46.595  0.356  1.894  3.274 42.430 1.003   820
alpha[2]   -0.188   0.115  -0.408 -0.267 -0.189 -0.110  0.039 1.007   310
alpha[3]    0.050   0.317  -0.578 -0.162  0.055  0.264  0.662 1.004   550
alpha[4]    0.032   0.231  -0.442 -0.112  0.029  0.182  0.496 1.009   230
alpha[5]   -0.373   0.142  -0.652 -0.469 -0.371 -0.278 -0.097 1.001  1500
alpha[6]    0.097   0.331  -0.545 -0.117  0.093  0.320  0.772 1.003   650
alpha[7]    0.098   0.240  -0.377 -0.064  0.094  0.254  0.583 1.007   300
alpha[8]    0.041   0.192  -0.331 -0.086  0.038  0.169  0.419 1.001  1500
alpha[9]    0.289   0.762  -1.202 -0.211  0.293  0.789  1.815 1.010   210
alpha[10]  -0.202   0.120  -0.439 -0.280 -0.201 -0.121  0.025 1.000  1500
alpha[11]   0.073   0.334  -0.586 -0.148  0.062  0.304  0.723 1.001  1500
alpha[12]   0.216   0.779  -1.389 -0.292  0.209  0.738  1.764 1.010   210
alpha[13]   0.193   0.373  -0.506 -0.058  0.200  0.438  0.892 1.001  1500
delta      -2.487   0.641  -3.651 -2.942 -2.524 -2.059 -1.175 1.001  1500
e.obs[1]    0.388   0.160   0.074  0.277  0.391  0.496  0.703 1.000  1500
e.obs[2]   -0.062   0.154  -0.379 -0.159 -0.064  0.036  0.254 1.003   680
e.obs[3]    0.770   0.121   0.546  0.685  0.771  0.853  1.013 1.003   660
e.obs[4]   -0.270   0.224  -0.703 -0.420 -0.276 -0.120  0.172 1.007   280
e.obs[5]    0.854   0.159   0.555  0.745  0.857  0.959  1.173 1.003   800
e.obs[6]   -0.796   0.249  -1.299 -0.965 -0.795 -0.632 -0.310 1.001  1500
e.obs[7]    0.074   0.145  -0.205 -0.026  0.074  0.171  0.356 1.001  1500
e.obs[8]   -0.045   0.229  -0.475 -0.207 -0.047  0.116  0.401 1.006   400
e.obs[9]    0.673   0.160   0.346  0.566  0.673  0.777  0.976 1.001  1500
e.obs[10]  -0.009   0.192  -0.399 -0.128 -0.004  0.113  0.349 1.001  1500
e.obs[11]  -0.189   0.129  -0.448 -0.276 -0.187 -0.102  0.057 1.001  1500
e.obs[12]   0.082   0.219  -0.326 -0.061  0.077  0.218  0.543 1.005  1200
e.obs[13]  -0.073   0.158  -0.376 -0.172 -0.078  0.026  0.239 1.001  1500
e.obs[14]  -0.368   0.233  -0.849 -0.520 -0.369 -0.216  0.097 1.003   790
e.obs[15]   0.400   0.297  -0.198  0.198  0.403  0.609  0.962 1.006   380
e.obs[16]  -0.111   0.195  -0.493 -0.236 -0.107  0.017  0.237 1.003   790
e.obs[17]  -0.921   0.188  -1.301 -1.040 -0.920 -0.794 -0.566 1.003   670
e.obs[18]  -0.498   0.190  -0.889 -0.614 -0.496 -0.378 -0.125 1.001  1500
e.obs[19]  -0.216   0.245  -0.711 -0.383 -0.215 -0.058  0.258 1.001  1500
e.obs[20]  -0.035   0.194  -0.410 -0.163 -0.030  0.093  0.348 1.001  1500
e.obs[21]  -0.103   0.275  -0.645 -0.285 -0.105  0.082  0.433 1.004   560
e.obs[22]  -0.221   0.305  -0.795 -0.427 -0.217 -0.016  0.362 1.002  1100
e.obs[23]  -0.092   0.225  -0.518 -0.246 -0.095  0.063  0.343 1.003   650
e.obs[24]  -0.111   0.332  -0.762 -0.324 -0.124  0.115  0.554 1.005   370
e.obs[25]  -0.040   0.203  -0.436 -0.164 -0.042  0.098  0.353 1.009   260
e.obs[26]  -0.103   0.198  -0.492 -0.228 -0.098  0.023  0.281 1.002   870
e.obs[27]   0.069   0.111  -0.146  0.001  0.066  0.138  0.293 1.001  1500
e.obs[28]   0.655   0.116   0.428  0.578  0.652  0.734  0.884 1.003  1500
e.obs[29]  -0.172   0.171  -0.514 -0.292 -0.165 -0.055  0.152 1.001  1400
e.obs[30]   0.064   0.199  -0.351 -0.065  0.063  0.203  0.443 1.004   520
e.obs[31]  -0.345   0.139  -0.618 -0.433 -0.348 -0.259 -0.062 1.000  1500
e.obs[32]  -0.267   0.185  -0.625 -0.390 -0.264 -0.140  0.089 1.001  1500
e.obs[33]  -0.507   0.161  -0.829 -0.620 -0.502 -0.392 -0.204 1.002  1200
e.obs[34]  -0.895   0.186  -1.252 -1.018 -0.893 -0.769 -0.540 1.001  1500
e.obs[35]  -1.337   0.175  -1.671 -1.453 -1.334 -1.219 -1.001 1.001  1500
e.obs[36]  -0.462   0.122  -0.698 -0.545 -0.462 -0.380 -0.219 1.000  1500
e.obs[37]   0.127   0.115  -0.101  0.055  0.124  0.201  0.351 1.000  1500
e.obs[38]  -0.491   0.125  -0.742 -0.575 -0.495 -0.405 -0.240 1.000  1500
e.obs[39]   0.091   0.126  -0.160  0.012  0.090  0.170  0.348 1.000  1500
e.obs[40]   0.076   0.176  -0.270 -0.043  0.079  0.191  0.421 1.000  1500
e.obs[41]  -0.103   0.210  -0.503 -0.244 -0.107  0.036  0.298 1.000  1500
e.obs[42]   0.215   0.091   0.040  0.158  0.212  0.272  0.398 1.001  1500
e.obs[43]   0.071   0.074  -0.063  0.031  0.062  0.108  0.240 1.003   830
e.obs[44]  -0.003   0.049  -0.105 -0.016  0.001  0.015  0.084 1.014   500
e.obs[45]  -0.008   0.040  -0.082 -0.026 -0.009  0.008  0.065 1.010  1500
e.obs[46]   0.040   0.087  -0.128 -0.016  0.039  0.098  0.215 1.001  1500
e.obs[47]  -0.161   0.158  -0.484 -0.260 -0.156 -0.060  0.160 1.001  1500
e.obs[48]   0.022   0.243  -0.443 -0.149  0.032  0.182  0.498 1.000  1500
e.obs[49]   1.713   0.314   1.098  1.486  1.723  1.925  2.307 1.001  1500
e.obs[50]  -0.121   0.118  -0.344 -0.199 -0.123 -0.043  0.118 1.003  1200
e.obs[51]  -0.551   0.106  -0.766 -0.621 -0.551 -0.481 -0.349 1.002   950
e.obs[52]   0.031   0.106  -0.194 -0.037  0.032  0.100  0.237 1.002  1100
e.obs[53]   0.709   0.221   0.215  0.581  0.718  0.856  1.105 1.004   660
e.obs[54]   0.149   0.248  -0.373 -0.005  0.155  0.312  0.609 1.002  1400
e.obs[55]   0.538   0.168   0.205  0.426  0.545  0.644  0.859 1.001  1500
