iButton_Temp,Time_Date,Object,Size,Location,id
16.632,01/01/2020 21:47,Bush,Small,Tzeelim,1
16.632,01/01/2020 21:57,Bush,Small,Tzeelim,1
16.632,01/01/2020 22:07,Bush,Small,Tzeelim,1
16.632,01/01/2020 22:17,Bush,Small,Tzeelim,1
16.632,01/01/2020 22:27,Bush,Small,Tzeelim,1
16.632,01/01/2020 22:37,Bush,Small,Tzeelim,1
16.632,01/01/2020 22:47,Bush,Small,Tzeelim,1
16.632,01/01/2020 22:57,Bush,Small,Tzeelim,1
16.632,01/01/2020 23:07,Bush,Small,Tzeelim,1
16.632,01/01/2020 23:17,Bush,Small,Tzeelim,1
16.632,01/01/2020 23:27,Bush,Small,Tzeelim,1
16.632,01/01/2020 23:37,Bush,Small,Tzeelim,1
16.632,01/01/2020 23:47,Bush,Small,Tzeelim,1
16.616,01/01/2020 23:56,Bush,Small,Mishmar,1
16.632,01/01/2020 23:57,Bush,Small,Tzeelim,1
17,03/01/2020 0:03,Bush,Small,Mishmar,1
17,03/01/2020 0:03,Bush,Small,Mishmar,1
15.5,03/01/2020 0:04,Bush,Small,Tzeelim,2
15.5,03/01/2020 0:04,Bush,Small,Tzeelim,1
16.5,03/01/2020 0:07,Bush,Small,Mishmar,2
16.5,03/01/2020 0:07,Bush,Small,Mishmar,2
16.5,03/01/2020 0:08,Bush,Small,Tzeelim,1
16.5,03/01/2020 0:08,Bush,Small,Tzeelim,2
17.5,03/01/2020 1:03,Bush,Small,Mishmar,1
17.5,03/01/2020 1:03,Bush,Small,Mishmar,1
15,03/01/2020 1:04,Bush,Small,Tzeelim,2
15,03/01/2020 1:04,Bush,Small,Tzeelim,1
17,03/01/2020 1:07,Bush,Small,Mishmar,2
17,03/01/2020 1:07,Bush,Small,Mishmar,2
16.5,03/01/2020 1:08,Bush,Small,Tzeelim,1
16.5,03/01/2020 1:08,Bush,Small,Tzeelim,2
17,03/01/2020 2:03,Bush,Small,Mishmar,1
17,03/01/2020 2:03,Bush,Small,Mishmar,1
15.5,03/01/2020 2:04,Bush,Small,Tzeelim,2
15.5,03/01/2020 2:04,Bush,Small,Tzeelim,1
17,03/01/2020 2:07,Bush,Small,Mishmar,2
17,03/01/2020 2:07,Bush,Small,Mishmar,2
16.5,03/01/2020 2:08,Bush,Small,Tzeelim,1
16.5,03/01/2020 2:08,Bush,Small,Tzeelim,2
16.5,03/01/2020 3:03,Bush,Small,Mishmar,1
16.5,03/01/2020 3:03,Bush,Small,Mishmar,1
14.5,03/01/2020 3:04,Bush,Small,Tzeelim,2
14.5,03/01/2020 3:04,Bush,Small,Tzeelim,1
16,03/01/2020 3:07,Bush,Small,Mishmar,2
16,03/01/2020 3:07,Bush,Small,Mishmar,2
16.5,03/01/2020 3:08,Bush,Small,Tzeelim,1
16.5,03/01/2020 3:08,Bush,Small,Tzeelim,2
16.5,03/01/2020 4:03,Bush,Small,Mishmar,1
16.5,03/01/2020 4:03,Bush,Small,Mishmar,1
14.5,03/01/2020 4:04,Bush,Small,Tzeelim,2
14.5,03/01/2020 4:04,Bush,Small,Tzeelim,1
16,03/01/2020 4:07,Bush,Small,Mishmar,2
16,03/01/2020 4:07,Bush,Small,Mishmar,2
16,03/01/2020 4:08,Bush,Small,Tzeelim,1
16,03/01/2020 4:08,Bush,Small,Tzeelim,2
16.5,03/01/2020 5:03,Bush,Small,Mishmar,1
16.5,03/01/2020 5:03,Bush,Small,Mishmar,1
14.5,03/01/2020 5:04,Bush,Small,Tzeelim,2
14.5,03/01/2020 5:04,Bush,Small,Tzeelim,1
16,03/01/2020 5:07,Bush,Small,Mishmar,2
16,03/01/2020 5:07,Bush,Small,Mishmar,2
16,03/01/2020 5:08,Bush,Small,Tzeelim,1
16,03/01/2020 5:08,Bush,Small,Tzeelim,2
16.5,03/01/2020 6:03,Bush,Small,Mishmar,1
16.5,03/01/2020 6:03,Bush,Small,Mishmar,1
14.5,03/01/2020 6:04,Bush,Small,Tzeelim,2
14.5,03/01/2020 6:04,Bush,Small,Tzeelim,1
16.5,03/01/2020 6:07,Bush,Small,Mishmar,2
16.5,03/01/2020 6:07,Bush,Small,Mishmar,2
16,03/01/2020 6:08,Bush,Small,Tzeelim,1
16,03/01/2020 6:08,Bush,Small,Tzeelim,2
16,03/01/2020 7:03,Bush,Small,Mishmar,1
16,03/01/2020 7:03,Bush,Small,Mishmar,1
14.5,03/01/2020 7:04,Bush,Small,Tzeelim,2
14.5,03/01/2020 7:04,Bush,Small,Tzeelim,1
16,03/01/2020 7:07,Bush,Small,Mishmar,2
16,03/01/2020 7:07,Bush,Small,Mishmar,2
16,03/01/2020 7:08,Bush,Small,Tzeelim,1
16,03/01/2020 7:08,Bush,Small,Tzeelim,2
16.5,03/01/2020 8:03,Bush,Small,Mishmar,1
16.5,03/01/2020 8:03,Bush,Small,Mishmar,1
14.5,03/01/2020 8:04,Bush,Small,Tzeelim,2
14.5,03/01/2020 8:04,Bush,Small,Tzeelim,1
16.5,03/01/2020 8:07,Bush,Small,Mishmar,2
16.5,03/01/2020 8:07,Bush,Small,Mishmar,2
