iButton_Temp,Date,Object,Size,Location,Month
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
16.616,01/01/2020,Bush,Small,Mishmar,1
16.632,01/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Mishmar,1
15.5,03/01/2020,Bush,Small,Tzeelim,1
15.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
17.5,03/01/2020,Bush,Small,Mishmar,1
17.5,03/01/2020,Bush,Small,Mishmar,1
15,03/01/2020,Bush,Small,Tzeelim,1
15,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Mishmar,1
15.5,03/01/2020,Bush,Small,Tzeelim,1
15.5,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Mishmar,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
14.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Mishmar,1
16,03/01/2020,Bush,Small,Tzeelim,1
16,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Mishmar,1
15.5,03/01/2020,Bush,Small,Tzeelim,1
15.5,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Tzeelim,1
20,03/01/2020,Bush,Small,Mishmar,1
20,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Tzeelim,1
20,03/01/2020,Bush,Small,Mishmar,1
20,03/01/2020,Bush,Small,Mishmar,1
19,03/01/2020,Bush,Small,Tzeelim,1
19,03/01/2020,Bush,Small,Tzeelim,1
23,03/01/2020,Bush,Small,Mishmar,1
23,03/01/2020,Bush,Small,Mishmar,1
20.5,03/01/2020,Bush,Small,Tzeelim,1
20.5,03/01/2020,Bush,Small,Tzeelim,1
22,03/01/2020,Bush,Small,Mishmar,1
22,03/01/2020,Bush,Small,Mishmar,1
21,03/01/2020,Bush,Small,Tzeelim,1
21,03/01/2020,Bush,Small,Tzeelim,1
23.5,03/01/2020,Bush,Small,Mishmar,1
23.5,03/01/2020,Bush,Small,Mishmar,1
22.5,03/01/2020,Bush,Small,Tzeelim,1
22.5,03/01/2020,Bush,Small,Tzeelim,1
23.5,03/01/2020,Bush,Small,Mishmar,1
23.5,03/01/2020,Bush,Small,Mishmar,1
23,03/01/2020,Bush,Small,Tzeelim,1
23,03/01/2020,Bush,Small,Tzeelim,1
23,03/01/2020,Bush,Small,Mishmar,1
23,03/01/2020,Bush,Small,Mishmar,1
22.5,03/01/2020,Bush,Small,Tzeelim,1
22.5,03/01/2020,Bush,Small,Tzeelim,1
23,03/01/2020,Bush,Small,Mishmar,1
23,03/01/2020,Bush,Small,Mishmar,1
23.5,03/01/2020,Bush,Small,Tzeelim,1
23.5,03/01/2020,Bush,Small,Tzeelim,1
24.5,03/01/2020,Bush,Small,Mishmar,1
24.5,03/01/2020,Bush,Small,Mishmar,1
23,03/01/2020,Bush,Small,Tzeelim,1
23,03/01/2020,Bush,Small,Tzeelim,1
24.5,03/01/2020,Bush,Small,Mishmar,1
24.5,03/01/2020,Bush,Small,Mishmar,1
24,03/01/2020,Bush,Small,Tzeelim,1
24,03/01/2020,Bush,Small,Tzeelim,1
25,03/01/2020,Bush,Small,Mishmar,1
25,03/01/2020,Bush,Small,Mishmar,1
23.5,03/01/2020,Bush,Small,Tzeelim,1
23.5,03/01/2020,Bush,Small,Tzeelim,1
24.5,03/01/2020,Bush,Small,Mishmar,1
24.5,03/01/2020,Bush,Small,Mishmar,1
24.5,03/01/2020,Bush,Small,Tzeelim,1
24.5,03/01/2020,Bush,Small,Tzeelim,1
22,03/01/2020,Bush,Small,Mishmar,1
22,03/01/2020,Bush,Small,Mishmar,1
20,03/01/2020,Bush,Small,Tzeelim,1
20,03/01/2020,Bush,Small,Tzeelim,1
21.5,03/01/2020,Bush,Small,Mishmar,1
21.5,03/01/2020,Bush,Small,Mishmar,1
21.5,03/01/2020,Bush,Small,Tzeelim,1
21.5,03/01/2020,Bush,Small,Tzeelim,1
21,03/01/2020,Bush,Small,Mishmar,1
21,03/01/2020,Bush,Small,Mishmar,1
19.5,03/01/2020,Bush,Small,Tzeelim,1
19.5,03/01/2020,Bush,Small,Tzeelim,1
20.5,03/01/2020,Bush,Small,Mishmar,1
20.5,03/01/2020,Bush,Small,Mishmar,1
20.5,03/01/2020,Bush,Small,Tzeelim,1
20.5,03/01/2020,Bush,Small,Tzeelim,1
20,03/01/2020,Bush,Small,Mishmar,1
20,03/01/2020,Bush,Small,Mishmar,1
18.5,03/01/2020,Bush,Small,Tzeelim,1
18.5,03/01/2020,Bush,Small,Tzeelim,1
19.5,03/01/2020,Bush,Small,Mishmar,1
19.5,03/01/2020,Bush,Small,Mishmar,1
19.5,03/01/2020,Bush,Small,Tzeelim,1
19.5,03/01/2020,Bush,Small,Tzeelim,1
19.5,03/01/2020,Bush,Small,Mishmar,1
19.5,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Tzeelim,1
19,03/01/2020,Bush,Small,Mishmar,1
19,03/01/2020,Bush,Small,Mishmar,1
19,03/01/2020,Bush,Small,Tzeelim,1
19,03/01/2020,Bush,Small,Tzeelim,1
19,03/01/2020,Bush,Small,Mishmar,1
19,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Tzeelim,1
18.5,03/01/2020,Bush,Small,Mishmar,1
18.5,03/01/2020,Bush,Small,Mishmar,1
18.5,03/01/2020,Bush,Small,Tzeelim,1
18.5,03/01/2020,Bush,Small,Tzeelim,1
18.5,03/01/2020,Bush,Small,Mishmar,1
18.5,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Mishmar,1
17.5,03/01/2020,Bush,Small,Tzeelim,1
17.5,03/01/2020,Bush,Small,Tzeelim,1
18,03/01/2020,Bush,Small,Mishmar,1
18,03/01/2020,Bush,Small,Mishmar,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
16.5,03/01/2020,Bush,Small,Tzeelim,1
17.5,03/01/2020,Bush,Small,Mishmar,1
17.5,03/01/2020,Bush,Small,Mishmar,1
17,03/01/2020,Bush,Small,Tzeelim,1
17,03/01/2020,Bush,Small,Tzeelim,1
23,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
23,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
23,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
22.5,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
22.5,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
22,04/01/2020,Bush,Small,Tzeelim,1
23,04/01/2020,Bush,Small,Mishmar,1
21.5,04/01/2020,Bush,Small,Tzeelim,1
22.5,04/01/2020,Bush,Small,Mishmar,1
21.5,04/01/2020,Bush,Small,Tzeelim,1
22.5,04/01/2020,Bush,Small,Mishmar,1
21,04/01/2020,Bush,Small,Tzeelim,1
21.5,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21.5,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21.5,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21,04/01/2020,Bush,Small,Mishmar,1
21.5,04/01/2020,Bush,Small,Tzeelim,1
22,04/01/2020,Bush,Small,Mishmar,1
21.5,04/01/2020,Bush,Small,Tzeelim,1
21.5,04/01/2020,Bush,Small,Mishmar,1
23,04/01/2020,Bush,Small,Tzeelim,1
24,04/01/2020,Bush,Small,Mishmar,1
24,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
23.5,04/01/2020,Bush,Small,Tzeelim,1
23,04/01/2020,Bush,Small,Mishmar,1
24,04/01/2020,Bush,Small,Tzeelim,1
22.5,04/01/2020,Bush,Small,Mishmar,1
25.5,04/01/2020,Bush,Small,Tzeelim,1
25,04/01/2020,Bush,Small,Mishmar,1
27,04/01/2020,Bush,Small,Tzeelim,1
25.5,04/01/2020,Bush,Small,Mishmar,1
25.5,04/01/2020,Bush,Small,Tzeelim,1
25,04/01/2020,Bush,Small,Mishmar,1
26.5,04/01/2020,Bush,Small,Tzeelim,1
25,04/01/2020,Bush,Small,Mishmar,1
27.5,04/01/2020,Bush,Small,Tzeelim,1
27,04/01/2020,Bush,Small,Mishmar,1
30,04/01/2020,Bush,Small,Tzeelim,1
27,04/01/2020,Bush,Small,Mishmar,1
28.5,04/01/2020,Bush,Small,Tzeelim,1
28.5,04/01/2020,Bush,Small,Mishmar,1
32,04/01/2020,Bush,Small,Tzeelim,1
27.5,04/01/2020,Bush,Small,Mishmar,1
29.5,04/01/2020,Bush,Small,Tzeelim,1
29.5,04/01/2020,Bush,Small,Mishmar,1
32,04/01/2020,Bush,Small,Tzeelim,1
29,04/01/2020,Bush,Small,Mishmar,1
29.5,04/01/2020,Bush,Small,Tzeelim,1
29,04/01/2020,Bush,Small,Mishmar,1
29.5,04/01/2020,Bush,Small,Tzeelim,1
28.5,04/01/2020,Bush,Small,Mishmar,1
28,04/01/2020,Bush,Small,Tzeelim,1
28.5,04/01/2020,Bush,Small,Mishmar,1
28,04/01/2020,Bush,Small,Tzeelim,1
