Inference for Bugs model at "../Mi model JAGS simp2.txt", fit using jags,
 3 chains, each with 4e+05 iterations (first 2e+05 discarded), n.thin = 300
 n.sims = 1998 iterations saved
          mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
Loc[1]      1.764   0.081   1.592  1.712  1.766  1.819  1.912 1.001  1800
Loc[2]      1.969   0.086   1.798  1.913  1.967  2.026  2.139 1.002  1400
alpha[1]    2.470  20.443 -38.910  0.760  1.899  3.632 49.505 1.000  2000
alpha[2]   -0.164   0.088  -0.331 -0.222 -0.164 -0.109  0.017 1.001  1800
alpha[3]   -0.025   0.213  -0.438 -0.165 -0.025  0.114  0.388 1.001  2000
alpha[4]    0.081   0.167  -0.225 -0.030  0.073  0.188  0.433 1.003   640
alpha[5]   -0.363   0.143  -0.645 -0.459 -0.363 -0.264 -0.090 1.001  1600
alpha[6]    0.169   0.219  -0.254  0.024  0.165  0.309  0.602 1.001  1800
alpha[7]    0.049   0.183  -0.338 -0.071  0.053  0.172  0.390 1.004   580
alpha[8]    0.036   0.186  -0.319 -0.090  0.034  0.158  0.407 1.001  2000
alpha[9]    0.496   0.153   0.165  0.404  0.505  0.598  0.779 1.002  2000
alpha[10]  -0.200   0.115  -0.423 -0.275 -0.199 -0.128  0.033 1.000  2000
alpha[11]   0.019   0.301  -0.585 -0.177  0.019  0.232  0.586 1.000  2000
alpha[12]   0.236   0.353  -0.444  0.009  0.233  0.475  0.916 1.000  2000
delta      -2.541   0.640  -3.637 -2.990 -2.601 -2.141 -1.136 1.003   630
e.obs[1]    0.368   0.149   0.077  0.269  0.370  0.465  0.658 1.001  2000
e.obs[2]   -0.048   0.138  -0.342 -0.135 -0.047  0.045  0.214 1.002  1600
e.obs[3]    0.765   0.119   0.538  0.688  0.761  0.845  0.994 1.002  1100
e.obs[4]   -0.222   0.158  -0.518 -0.331 -0.224 -0.122  0.112 1.002  1200
e.obs[5]    0.853   0.159   0.551  0.743  0.851  0.955  1.179 1.001  2000
e.obs[6]   -0.850   0.170  -1.189 -0.961 -0.846 -0.737 -0.522 1.003   720
e.obs[7]    0.060   0.135  -0.200 -0.026  0.058  0.148  0.324 1.003   730
e.obs[8]   -0.020   0.217  -0.433 -0.165 -0.019  0.120  0.410 1.003   850
e.obs[9]    0.648   0.136   0.383  0.560  0.645  0.739  0.913 1.003  1100
e.obs[10]  -0.003   0.183  -0.354 -0.117 -0.004  0.109  0.364 1.002  1400
e.obs[11]  -0.204   0.121  -0.441 -0.284 -0.205 -0.124  0.034 1.001  2000
e.obs[12]   0.105   0.201  -0.276 -0.026  0.107  0.232  0.494 1.000  2000
e.obs[13]  -0.076   0.155  -0.399 -0.177 -0.072  0.027  0.230 1.003   660
e.obs[14]  -0.383   0.229  -0.810 -0.540 -0.387 -0.238  0.087 1.001  2000
e.obs[15]   0.443   0.259  -0.065  0.273  0.444  0.609  0.969 1.004   580
e.obs[16]  -0.090   0.181  -0.470 -0.201 -0.081  0.032  0.248 1.000  2000
e.obs[17]  -0.907   0.182  -1.279 -1.027 -0.904 -0.789 -0.534 1.004   480
e.obs[18]  -0.502   0.187  -0.886 -0.626 -0.499 -0.378 -0.113 1.005   460
e.obs[19]  -0.261   0.192  -0.657 -0.391 -0.254 -0.134  0.108 1.004   520
e.obs[20]  -0.056   0.176  -0.396 -0.170 -0.052  0.062  0.294 1.004   490
e.obs[21]  -0.131   0.254  -0.650 -0.301 -0.128  0.043  0.359 1.001  2000
e.obs[22]  -0.199   0.302  -0.805 -0.396 -0.204  0.000  0.396 1.001  2000
e.obs[23]  -0.113   0.210  -0.540 -0.255 -0.114  0.031  0.289 1.002  1600
e.obs[24]  -0.036   0.229  -0.481 -0.186 -0.037  0.122  0.407 1.002  1100
e.obs[25]  -0.062   0.181  -0.442 -0.176 -0.055  0.061  0.278 1.003  2000
e.obs[26]  -0.110   0.190  -0.522 -0.221 -0.108  0.013  0.263 1.002  2000
e.obs[27]   0.060   0.109  -0.148 -0.009  0.059  0.131  0.277 1.001  2000
e.obs[28]   0.650   0.115   0.435  0.571  0.650  0.724  0.877 1.001  2000
e.obs[29]  -0.170   0.169  -0.491 -0.282 -0.170 -0.059  0.167 1.001  2000
e.obs[30]   0.069   0.188  -0.291 -0.058  0.068  0.198  0.428 1.002  1900
e.obs[31]  -0.354   0.135  -0.618 -0.442 -0.356 -0.265 -0.089 1.000  2000
e.obs[32]  -0.266   0.185  -0.620 -0.385 -0.265 -0.145  0.099 1.001  2000
e.obs[33]  -0.507   0.160  -0.819 -0.614 -0.506 -0.403 -0.193 1.002  2000
e.obs[34]  -0.894   0.186  -1.248 -1.013 -0.895 -0.774 -0.525 1.001  2000
e.obs[35]  -1.337   0.176  -1.669 -1.451 -1.337 -1.223 -0.992 1.001  2000
